id,name,codice_ipa,seed_domain,claimed_domain,reject_reason,old_mx,old_provider,old_reason
IT-C14-cpip_109,Ordine Periti Industriali e Periti Industriali Laureati delle Province di Ascoli Piceno e Fermo,cpip_109,ordine-ascolipiceno-fermo.cnpi.eu,perind.ap.it,unrelated,mx.perind.ap.it,aruba,MX (mx.perind.ap.it) on AS31034 (Aruba.it (IT)) -> aruba (ASN-based override)
IT-C14-cpoppu,Collegio Provinciale Ordine dei Consulenti del Lavoro di Pesaro - Urbino,cpoppu,consulentidellavoropesaro.it,gmail.com,unrelated,alt1.gmail-smtp-in.l.google.com,google,"MX record (alt1.gmail-smtp-in.l.google.com, alt2.gmail-smtp-in.l.google.com) matches Google"
IT-C14-cppapfr,Collegio Provinciale Periti Agrari e Periti Agrari Laureati,cppapfr,peritiagrarifrosinone.it,comune.alvito.fr.it,unrelated,mail.comune.alvito.fr.it,local-isp,MX (mail.comune.alvito.fr.it) hosted on Local ISP (Serverplan (IT))
IT-C14-cptro,"Ordine dei Tecnici Sanitari di Radiologia Medica e delle Professioni Sanitarie Tecniche, della Riabilitazione e della Prevenzione delle Province di Sassari Olbia/Tempio",cptro,tsrmsassari.it,comune.sassari.it,unrelated,mx.zimbraopen.it,microsoft,MX is zimbraopen gateway; TXT verification proves microsoft tenant
IT-C14-cptsr_n,Collegio Provinciale Tecnici Sanitari di Radiologia Medica di Nuoro,cptsr_n,tsrmnuoro.jimdo.com,yahoo.it,unrelated,mx-eu.mail.am0.yahoodns.net,independent,MX (mx-eu.mail.am0.yahoodns.net) is self-hosted
IT-C14-cptsre,"Ordine dei Tecnici Sanitari di Radiologia Medica, e delle Professioni Sanitarie Tecniche, della Riabilitazione e della Prevenzione della Provincia di Enna",cptsre,tsrmenna.com,tsrm.org,unrelated,mx.tsrm.org,aruba,MX (mx.tsrm.org) on AS31034 (Aruba.it (IT)) -> aruba (ASN-based override)
IT-C14-crdmi,Co.Re.Di. Commissione Amministrativa Regionale di Disciplina,crdmi,coredilombardia.portaleamministrazionetrasparente.it,notariato.it,pec_provider:notariato.it,mail.notariato.it,independent,"MX (mail.notariato.it, mail2.notariato.it) is self-hosted"
IT-C14-ctsr_070,"Ordine dei Tecnici Sanitari di Radiologia Medica e delle Professioni Sanitarie Tecniche, della Riabilitazione e della Prevenzione di Campobasso-Isernia",ctsr_070,collegiotsrmmolise.it,tsrm.org,unrelated,mx.tsrm.org,aruba,MX (mx.tsrm.org) on AS31034 (Aruba.it (IT)) -> aruba (ASN-based override)
IT-C14-oam_2,Ordine Avvocati di Mondovi',oam_2,ordineavvocatimondovi.it,gmail.com,unrelated,alt1.gmail-smtp-in.l.google.com,google,"MX record (alt1.gmail-smtp-in.l.google.com, alt2.gmail-smtp-in.l.google.com) matches Google"
IT-C14-oappcal,Ordine Architetti P.P.C. della Provincia di Alessandria,oappcal,al.awn.it,alessandria.archiworld.it,unrelated,mx1-cnappc.innovazionedigitale.it,local-isp,"MX (mx1-cnappc.innovazionedigitale.it, mx2-cnappc.innovazionedigitale.it) hosted on Local ISP (Fastweb (IT))"
